DAT_DATE,DAT_TIMESTAMP,MY_LATITUDE,MY_LONGITUDE,MY_NIVEAU_FUEL,MY_P_OIL,MY_T_COOLANT,MY_FUEL_RATE,MY_ETAT,MY_ENGINERUNHOURS,MY_CAP,MY_BATTERY_VOLT,MY_ALTITUDE,MY_LOAD,MY_P_INTAKE,MY_RESERVE1,MY_RESERVE2,TEMPERATURE_CRYPTAGE
2025-01-06 00:00:00,2025-01-06 12:31:26,48.442944,1.7782032,0,4.56,35,11.1,1001,12084.1,0,25.8,160.89999,45,1,0,0,788
2025-01-06 00:00:00,2025-01-06 12:33:31,48.442928,1.7781984,0,4.44,44,9.6,1001,12084.1,0,25.8,160.89999,37,1,0,0,800
2025-01-06 00:00:00,2025-01-06 12:35:36,48.4429216,1.7781966,0,4.28,50,9.1,1001,12084.2,0,25.9,159.8,34,1,0,0,802
2025-01-06 00:00:00,2025-01-06 12:37:41,48.443008,1.7782384,0,4.24,55,7.5,1001,12084.2,0,26,168,26,1,0,0,798
2025-01-06 00:00:00,2025-01-06 12:39:46,48.4430272,1.778052,0,3.36,59,6.9,1001,12084.2,0,25.9,181.4,23,1,0,0,801
2025-01-06 00:00:00,2025-01-06 12:41:51,48.4429056,1.7781202,0,3.72,64,7.3,1001,12084.3,0,26,197.4,24,1,0,0,799
2025-01-06 00:00:00,2025-01-06 12:43:56,48.442912,1.778087,0,3.72,67,6.7,1001,12084.3,0,25.9,178.9,22,1,0,0,797
2025-01-06 00:00:00,2025-01-06 12:46:01,48.4429056,1.7780636,0,3.4,71,6,1001,12084.3,0,26,161.5,19,1,0,0,801
2025-01-06 00:00:00,2025-01-06 12:48:06,48.442864,1.7780334,0,3,74,6.7,1001,12084.4,0,25.8,162.5,21,1.02,0,0,800
2025-01-06 00:00:00,2025-01-06 12:50:11,48.4427488,1.778122,0,2.84,76,6.6,1001,12084.4,0,25.8,144.2,21,1.02,0,0,800
2025-01-06 00:00:00,2025-01-06 12:52:16,48.4426848,1.7781466,0,2.88,76,6.5,1001,12084.4,0,25.8,144.39999,20,1.02,0,0,800
2025-01-06 00:00:00,2025-01-06 12:54:21,48.442592,1.7781684,0,2.6,76,5.9,1001,12084.5,0,25.8,141.60001,18,1,0,0,801
2025-01-06 00:00:00,2025-01-06 12:56:26,48.4426624,1.7781668,0,2.76,76,6.6,1001,12084.5,0,25.8,141.7,21,1.02,0,0,800
2025-01-06 00:00:00,2025-01-06 12:58:31,48.44288,1.7781834,0,2.72,76,6,1001,12084.5,0,25.7,141.39999,19,1,0,0,799
2025-01-06 00:00:00,2025-01-06 13:00:36,48.4428928,1.7781952,0,2.48,76,5.9,1001,12084.6,0,25.7,140.10001,19,1,0,0,799
2025-01-06 00:00:00,2025-01-06 13:02:41,48.442912,1.7781966,0,2.68,76,6,1001,12084.6,0,25.8,153.7,19,1,0,0,800
2025-01-06 00:00:00,2025-01-06 13:04:46,48.442912,1.7781586,0,2.68,76,6.5,1001,12084.6,0,25.8,156.89999,21,1.02,0,0,799
2025-01-06 00:00:00,2025-01-06 13:06:51,48.442848,1.77817,0,2.56,77,5.9,1001,12084.7,0,25.7,163.60001,19,1,0,0,799
2025-01-06 00:00:00,2025-01-06 13:08:56,48.4428224,1.77817,0,2.68,77,5.9,1001,12084.7,0,25.8,164.8,18,1,0,0,800
2025-01-06 00:00:00,2025-01-06 13:11:01,48.4427712,1.7781734,0,2.56,77,6,1001,12084.8,0,25.9,154.8,18,1,0,0,799
2025-01-06 00:00:00,2025-01-06 13:13:06,48.4428,1.7781668,0,2.48,77,6.3,1001,12084.8,0,25.9,145,20,1,0,0,800
2025-01-06 00:00:00,2025-01-06 13:15:11,48.4427648,1.7781554,0,2.64,77,5.9,1001,12084.8,0,25.7,152.10001,18,1,0,0,799
2025-01-06 00:00:00,2025-01-06 13:17:16,48.4427552,1.77816,0,2.76,77,5.9,1001,12084.9,0,25.7,151.89999,19,1,0,0,799
2025-01-06 00:00:00,2025-01-06 13:19:21,48.4427552,1.7781652,0,2.52,77,6.4,1001,12084.9,0,25.6,152,20,1,0,0,800
2025-01-06 00:00:00,2025-01-06 13:21:26,48.4427552,1.7781652,0,2.64,77,5.7,1001,12084.9,0,25.7,152.2,18,1,0,0,800
2025-01-06 00:00:00,2025-01-06 13:23:31,48.4427552,1.7781634,0,2.56,77,5.9,1001,12085,0,25.6,151.89999,18,1,0,0,801
2025-01-06 00:00:00,2025-01-06 13:25:36,48.4427648,1.7781618,0,2.6,77,5.8,1001,12085,0,25.6,152.10001,18,1,0,0,799
2025-01-06 00:00:00,2025-01-06 13:27:41,48.4427648,1.7781568,0,2.64,77,6.3,1001,12085,0,25.6,152.2,20,1,0,0,800
2025-01-06 00:00:00,2025-01-06 13:29:46,48.4427648,1.77816,0,2.6,77,5.8,1001,12085.1,0,25.6,152.39999,18,1,0,0,800
2025-01-06 00:00:00,2025-01-06 13:31:51,48.4427648,1.7781684,0,2.68,77,5.9,1001,12085.1,0,25.8,152.3,19,1,0,0,800
2025-01-06 00:00:00,2025-01-06 13:33:56,48.4427648,1.7781752,0,2.68,77,6.3,1001,12085.1,0,25.8,152,20,1,0,0,798
2025-01-06 00:00:00,2025-01-06 13:36:01,48.4427648,1.7781766,0,2.72,77,5.9,1001,12085.2,0,25.8,151.7,18,1,0,0,802
2025-01-06 00:00:00,2025-01-06 13:38:06,48.4427648,1.7781766,0,2.56,77,5.9,1001,12085.2,0,25.8,151.60001,19,1,0,0,800
2025-01-06 00:00:00,2025-01-06 13:40:11,48.4427648,1.7781752,0,2.6,77,5.8,1001,12085.2,0,25.8,151.5,18,1,0,0,800
2025-01-06 00:00:00,2025-01-06 13:42:16,48.4427712,1.7781718,0,2.68,76,6.1,1001,12085.3,0,25.8,151.39999,19,1,0,0,799
2025-01-06 00:00:00,2025-01-06 13:44:21,48.4427712,1.77817,0,2.52,77,5.9,1001,12085.3,0,25.8,151.3,19,1,0,0,799
2025-01-06 00:00:00,2025-01-06 13:46:26,48.442784,1.7781668,0,2.72,77,5.9,1001,12085.3,0,25.8,151.3,19,1,0,0,799
2025-01-06 00:00:00,2025-01-06 13:48:31,48.4427904,1.7781618,0,2.56,76,6.1,1001,12085.4,0,25.8,151.2,19,1,0,0,800
2025-01-06 00:00:00,2025-01-06 13:50:36,48.4427904,1.7781568,0,2.48,76,5.9,1001,12085.4,0,25.8,151.2,18,1,0,0,800
2025-01-06 00:00:00,2025-01-06 13:52:41,48.4427904,1.7781554,0,2.64,77,5.9,1001,12085.4,0,25.8,151.10001,18,1,0,0,800
2025-01-06 00:00:00,2025-01-06 13:54:46,48.4427264,1.7781234,0,2.84,76,6.2,1001,12085.5,0,25.8,151.3,19,1,0,0,799
2025-01-06 00:00:00,2025-01-06 13:56:51,48.4427072,1.7780886,0,2.44,76,6,1001,12085.5,0,25.8,148.8,19,1,0,0,799
2025-01-06 00:00:00,2025-01-06 13:58:56,48.4427072,1.7780734,0,2.8,76,5.7,1001,12085.5,0,25.8,148.8,18,1,0,0,799
2025-01-06 00:00:00,2025-01-06 14:01:01,48.4427136,1.7780554,0,2.72,77,5.8,1001,12085.6,0,25.8,149.3,18,1,0,0,799
2025-01-06 00:00:00,2025-01-06 14:03:06,48.4427136,1.7780536,0,2.36,76,5.9,1001,12085.6,0,25.8,149.60001,18,1,0,0,801
2025-01-06 00:00:00,2025-01-06 14:05:11,48.4427264,1.7780568,0,2.72,76,5.8,1001,12085.7,0,25.8,150,18,1,0,0,801
2025-01-06 00:00:00,2025-01-06 14:07:16,48.4427424,1.7780836,0,2.64,76,5.9,1001,12085.7,0,25.8,148.7,19,1,0,0,798
2025-01-06 00:00:00,2025-01-06 14:09:21,48.4427424,1.778092,0,2.6,76,6.2,1001,12085.7,0,25.8,148.89999,19,1,0,0,800
2025-01-06 00:00:00,2025-01-06 14:11:26,48.4427488,1.7781134,0,2.56,76,5.7,1001,12085.8,0,25.8,148.60001,18,1,0,0,799
2025-01-06 00:00:00,2025-01-06 14:13:31,48.4427552,1.7781286,0,2.68,76,5.8,1001,12085.8,0,25.8,148.2,19,1,0,0,799
2025-01-06 00:00:00,2025-01-06 14:15:36,48.4427648,1.7781268,0,2.52,76,6.2,1001,12085.8,0,25.8,149.2,19,1,0,0,800
2025-01-06 00:00:00,2025-01-06 14:17:41,48.4427488,1.778122,0,2.8,76,5.9,1001,12085.9,0,25.8,149.10001,19,1,0,0,799
2025-01-06 00:00:00,2025-01-06 14:19:46,48.4427424,1.77813,0,2.64,76,5.8,1001,12085.9,0,25.8,148.39999,18,1,0,0,800
2025-01-06 00:00:00,2025-01-06 14:21:51,48.4427008,1.7781834,0,2.6,76,5.7,1001,12085.9,0,25.8,148.39999,18,1,0,0,800
2025-01-06 00:00:00,2025-01-06 14:23:56,48.4427072,1.7781752,0,2.72,76,6.2,1001,12086,0,25.8,148.3,19,1,0,0,798
2025-01-06 00:00:00,2025-01-06 14:26:01,48.4427072,1.7781568,0,2.72,76,5.7,1001,12086,0,25.8,147.89999,18,1,0,0,797
2025-01-06 00:00:00,2025-01-06 14:28:06,48.4427072,1.7781534,0,2.48,76,5.7,1001,12086,0,25.8,147.7,18,1,0,0,801
2025-01-06 00:00:00,2025-01-06 14:30:11,48.4427072,1.7781568,0,2.76,76,5.9,1001,12086.1,0,25.8,147.5,19,1,0,0,800
2025-01-06 00:00:00,2025-01-06 14:32:16,48.4427072,1.7781534,0,2.68,76,5.6,1001,12086.1,0,25.8,147.7,18,1,0,0,799
2025-01-06 00:00:00,2025-01-06 14:34:21,48.4427072,1.7781586,0,2.68,76,5.5,1001,12086.1,0,25.8,147.89999,17,1,0,0,800
2025-01-06 00:00:00,2025-01-06 14:36:26,48.4427008,1.7781586,0,2.72,76,6,1001,12086.2,0,25.8,148.5,19,1,0,0,798
2025-01-06 00:00:00,2025-01-06 14:38:31,48.4427008,1.7781634,0,2.68,76,5.9,1001,12086.2,0,25.8,148.5,18,1,0,0,800
2025-01-06 00:00:00,2025-01-06 14:40:36,48.4426912,1.77816,0,2.72,76,5.6,1001,12086.2,0,25.8,148.89999,18,1,0,0,798
2025-01-06 00:00:00,2025-01-06 14:42:41,48.4426912,1.7781634,0,2.68,76,5.6,1001,12086.3,0,25.8,149.3,18,1,0,0,799
2025-01-06 00:00:00,2025-01-06 14:44:46,48.4426912,1.77816,0,2.56,76,5.6,1001,12086.3,0,25.8,149.39999,18,1,0,0,800
2025-01-06 00:00:00,2025-01-06 14:46:51,48.4427264,1.7781634,0,2.64,76,5.7,1001,12086.3,0,25.8,150.10001,18,1,0,0,800
2025-01-06 00:00:00,2025-01-06 14:48:56,48.4427264,1.7781652,0,2.68,76,5.6,1001,12086.4,0,25.8,149.60001,18,1,0,0,800
2025-01-06 00:00:00,2025-01-06 14:51:01,48.4427328,1.7781718,0,2.72,76,5.9,1001,12086.4,0,25.8,149.10001,19,1,0,0,800
2025-01-06 00:00:00,2025-01-06 14:53:06,48.4427328,1.7781818,0,2.6,76,5.6,1001,12086.5,0,25.8,149.39999,18,1,0,0,800
2025-01-06 00:00:00,2025-01-06 14:55:11,48.4427424,1.7781784,0,2.64,76,5.7,1001,12086.5,0,25.8,149.2,18,1,0,0,800
